Cor,Placa,Marca,Ano,Kilometragem,Valor,Modelo,Categoria
Branco,4H-2330,Ferrari,2014,74278.0,550222.0,458 Speciale,SUV
Branco,9V-3622,Ford,2017,32207.0,332668.0,Uno,Esportivo
Verde,8B-2360,Ferrari,2012,3555.0,661199.0,Tucson,Pick-up
Verde,2C-5775,Toyota,2001,122635.0,876334.0,HR-V,Sedan
Branco,4S-9618,Honda,2010,250078.0,396415.0,Sian,Super Esportivo
Azul,7X-4359,Toyota,1995,111334.0,423779.0,Uno,Pick-up
Branco,5M-7152,Ford,1999,121945.0,524466.0,C4 Cactus,SUV
Verde,9O-1538,Ford,2018,104262.0,358439.0,Gallardo,Super Esportivo
Preto,7O-3615,Mitsubishi,1990,263859.0,226621.0,Ranger,Super Esportivo
Azul,6T-3631,Chevrolet,2001,51557.0,238053.0,F430,SUV
Azul,3U-1324,Chevrolet,2000,54455.0,487880.0,488 Pista,Super Esportivo
Vermelho,2B-1276,Ford,1991,115291.0,316783.0,Kicks,SUV
Verde,4N-6475,Mitsubishi,2015,229678.0,611503.0,Focus,Sedan
Branco,7Y-8942,Chevrolet,2018,245536.0,319386.0,Golf,Super Esportivo
Vermelho,9O-6253,Ford,1990,161320.0,975013.0,Essenza SCV12,Esportivo
Branco,2R-6747,Ferrari,1996,25641.0,850253.0,Strada,Pick-up
Azul,2W-9884,Toyota,2009,214667.0,29371.0,LaFerrari,Sedan
Azul,4H-8450,Honda,2002,274261.0,95936.0,F12 Berlinetta,Pick-up
Verde,8R-9386,Chevrolet,1991,285873.0,871327.0,Aventador,Sedan
Preto,2F-6069,Ferrari,1995,60382.0,874520.0,Essenza SCV12,SUV
Vermelho,2E-3507,Ford,1997,5435.0,486285.0,Hilux,SUV
Preto,6Y-8100,Chevrolet,1999,121814.0,227372.0,Reventón,Hatch
Vermelho,9G-1700,Chevrolet,1996,75640.0,235486.0,Aventador,Pick-up
Azul,9M-4286,Ferrari,2011,168295.0,542586.0,Uno,Pick-up
Azul,8Y-5377,Honda,2017,33015.0,841775.0,Tucson,Super Esportivo
Branco,5B-5187,Ford,2010,299866.0,591254.0,Sian,Hatch
Verde,7Y-2736,Lamborghini,1992,155907.0,222296.0,Reventón,Pick-up
Verde,2O-8496,Toyota,2013,197209.0,395219.0,Corolla,Esportivo
Vermelho,2P-6737,Chevrolet,2014,163862.0,277300.0,Gallardo,Esportivo
Vermelho,9T-7078,Lamborghini,1999,201862.0,412242.0,Aventador SVJ,Sedan
Verde,4U-4378,Chevrolet,2012,111218.0,638092.0,Hilux,Super Esportivo
Vermelho,7A-5493,Ferrari,1997,218128.0,239804.0,Fiesta,Pick-up
Vermelho,2Q-6315,Mitsubishi,2023,108793.0,561114.0,F12 Berlinetta,Hatch
Vermelho,6X-5167,Chevrolet,2010,247949.0,442473.0,HR-V,SUV
Preto,3V-2488,Lamborghini,2016,174858.0,410853.0,Palio,SUV
Branco,6J-3770,Chevrolet,2006,279368.0,833449.0,Fiesta Sedan,Pick-up
Branco,9T-7118,Mitsubishi,1997,276291.0,894740.0,Palio,Pick-up
Branco,8J-3290,Ferrari,2008,205123.0,479636.0,Essenza SCV12,Esportivo
Azul,5O-1472,Toyota,2003,159117.0,761477.0,Huracan,Sedan
Verde,4S-6964,Chevrolet,2010,209267.0,23932.0,Tucson,Hatch
Verde,1K-2683,Ford,1993,54384.0,630105.0,Fit,Super Esportivo
Branco,7H-8346,Lamborghini,2019,121671.0,98711.0,458 Italia,Super Esportivo
Branco,9M-4761,Toyota,1992,118830.0,433061.0,F430,Esportivo
Vermelho,9C-7104,Ferrari,2015,133086.0,230427.0,Civic,SUV
Azul,8H-3653,Ferrari,2004,232674.0,601865.0,Essenza SCV12,Pick-up
Vermelho,9E-4488,Lamborghini,2008,106382.0,798803.0,Aventador SVJ,Sedan
Preto,2V-4697,Toyota,2017,252314.0,696398.0,Polo,Sedan
Preto,8R-3545,Ferrari,2012,207195.0,945555.0,Ranger,Super Esportivo
Branco,9V-3191,Lamborghini,2014,57497.0,399335.0,Onix,Esportivo
Preto,3A-7928,Honda,1993,76151.0,361796.0,Urus,Esportivo
Verde,2V-8539,Mitsubishi,1991,296958.0,605834.0,Fiesta,Sedan
Verde,2V-9749,Honda,1993,195207.0,226405.0,Aventador,Pick-up
Vermelho,9N-7879,Lamborghini,2011,175763.0,457898.0,California T,Super Esportivo
Azul,7I-9825,Honda,2020,50430.0,117883.0,Golf,Hatch
Azul,6O-8194,Ferrari,2000,21931.0,411592.0,458 Italia,Pick-up
Preto,5A-1151,Toyota,2020,39614.0,408237.0,C4 Cactus,Super Esportivo
Branco,5J-1115,Toyota,1996,144012.0,419044.0,Fiesta Sedan,Super Esportivo
Verde,3E-2735,Lamborghini,2000,260342.0,198917.0,812 GTS,Sedan
Branco,7H-4938,Lamborghini,2014,49496.0,870580.0,California T,Pick-up
Verde,8U-5426,Toyota,2011,20119.0,542990.0,Onix,Hatch
Branco,1R-6644,Honda,2014,227505.0,351364.0,812 Superfast,Sedan
Verde,1K-4697,Chevrolet,2009,278017.0,987218.0,Portofino,Sedan
Verde,3U-2598,Ferrari,2010,38861.0,29562.0,Aventador SVJ,Pick-up
Azul,5Y-9496,Chevrolet,2020,187548.0,193080.0,Fit,SUV
Branco,3A-7771,Ferrari,2009,67502.0,520398.0,S10,Esportivo
Azul,1C-6020,Toyota,2004,202052.0,205879.0,Essenza SCV12,SUV
Preto,4F-4830,Chevrolet,2013,86439.0,499430.0,F12 Berlinetta,Pick-up
Azul,1M-8405,Toyota,1992,271893.0,755169.0,488 GTB,SUV
Vermelho,5Q-9036,Ford,2006,269881.0,61256.0,Aventador SVJ,Esportivo
Verde,2L-5432,Ford,2002,141567.0,504463.0,Portofino,Sedan
Branco,2E-4771,Ferrari,1996,271492.0,525470.0,488 Pista,Hatch
Verde,2B-7093,Lamborghini,2007,234453.0,479092.0,488 GTB,Sedan
Preto,4G-4897,Chevrolet,2021,103214.0,394436.0,Portofino,SUV
Azul,8P-4282,Ford,1993,195694.0,329994.0,488 Pista,Super Esportivo
Branco,1K-4105,Honda,2004,104202.0,756913.0,S10,Hatch
Azul,5R-4970,Lamborghini,2018,27658.0,795211.0,Tiguan,Esportivo
Azul,9Y-8965,Honda,1999,230037.0,219985.0,Strada,Super Esportivo
Branco,6X-1906,Ford,1993,163246.0,47365.0,488 Pista,Pick-up
Vermelho,7Q-7822,Toyota,1995,32415.0,946024.0,Tucson,Super Esportivo
Azul,3R-3910,Ford,2018,127080.0,59931.0,A3,SUV
Azul,3U-2685,Toyota,1998,279661.0,879964.0,Creta,Super Esportivo
Branco,5P-2353,Mitsubishi,2013,67447.0,492420.0,Fit,Esportivo
Branco,2F-3074,Toyota,2001,149762.0,598293.0,Creta,Sedan
Verde,4S-7270,Ford,2021,296886.0,363977.0,Onix,Pick-up
Branco,2E-2506,Honda,2018,296822.0,954518.0,488 GTB,SUV
Branco,3U-6625,Mitsubishi,2022,76332.0,40031.0,Uno,Sedan
Azul,6M-9696,Toyota,2009,154656.0,516683.0,Reventón,Sedan
Verde,4Q-7184,Ford,2010,202710.0,602704.0,C4 Cactus,Sedan
Preto,4I-6429,Ford,2001,93694.0,328855.0,Reventón,Esportivo
Vermelho,3U-1650,Chevrolet,1997,239384.0,251826.0,HR-V,Hatch
Branco,2G-1686,Mitsubishi,2002,270020.0,552043.0,HR-V,Esportivo
Azul,7O-5735,Honda,2017,247344.0,206456.0,F430,Super Esportivo
Azul,7D-2217,Honda,2023,95428.0,526205.0,California T,Sedan
Vermelho,7X-8845,Lamborghini,2013,236490.0,233430.0,F8 Tributo,Pick-up
Branco,8Z-2087,Lamborghini,2008,86172.0,421000.0,Aventador SVJ,Sedan
Branco,4R-1480,Ferrari,2019,285629.0,197542.0,Eclipse GT,Pick-up
Preto,4Y-3651,Ford,2000,241784.0,61164.0,Renegade,Super Esportivo
Preto,9L-5948,Chevrolet,1996,227085.0,11006.0,488 Pista,Hatch
Preto,7D-4120,Mitsubishi,2014,88588.0,636873.0,Urus,Esportivo
Vermelho,6J-6490,Mitsubishi,2014,28428.0,866408.0,Renegade,Super Esportivo
Verde,9Z-2214,Toyota,2003,253910.0,243299.0,A3,Sedan
Preto,2U-2785,Ferrari,2017,37935.0,700291.0,Creta,Super Esportivo
Vermelho,5W-2732,Toyota,2012,138481.0,127582.0,488 Pista,Esportivo
Vermelho,6T-8277,Chevrolet,2003,294385.0,496209.0,Duster,Pick-up
Azul,4U-6431,Honda,1991,2767.0,960025.0,Polo,Esportivo
Vermelho,3T-4926,Toyota,1994,68724.0,737940.0,Aventador SVJ,Sedan
Preto,3I-3392,Lamborghini,2014,31010.0,978894.0,Polo,Esportivo
Vermelho,7J-7685,Ferrari,1995,187030.0,554275.0,F8 Tributo,Hatch
Preto,5L-5087,Ferrari,2005,148192.0,137812.0,Palio,SUV
Branco,5J-5058,Ferrari,2021,56827.0,68086.0,Renegade,SUV
Azul,2T-7133,Honda,2015,49838.0,485444.0,A3,Sedan
Preto,9Q-6520,Chevrolet,2013,285457.0,284989.0,Ranger,Pick-up
Verde,9X-8357,Toyota,2006,140137.0,760724.0,Gallardo,Esportivo
Azul,8M-9558,Honda,2008,242819.0,108487.0,California T,Pick-up
Azul,1K-2779,Honda,2007,143790.0,292641.0,812 GTS,Esportivo
Azul,1T-4749,Chevrolet,2023,244488.0,623643.0,F12 Berlinetta,Super Esportivo
Preto,7B-7709,Toyota,2016,159344.0,810648.0,Essenza SCV12,Super Esportivo
Branco,7F-2409,Mitsubishi,1997,108689.0,717847.0,Kicks,Pick-up
Preto,9F-2936,Lamborghini,2002,50479.0,811558.0,Corolla,Sedan
Azul,3X-9305,Mitsubishi,2014,75162.0,884547.0,Fit,SUV
Azul,9J-7056,Honda,2023,233738.0,280046.0,Tucson,Super Esportivo
Branco,9W-7377,Ferrari,2017,132118.0,533686.0,Fit,Pick-up
Preto,2S-9619,Honda,2006,68392.0,681537.0,Eclipse GT,Sedan
Vermelho,7S-3682,Lamborghini,2007,295789.0,418219.0,California T,Esportivo
Preto,4T-2075,Honda,1996,245088.0,542945.0,Fiesta Sedan,Super Esportivo
Verde,6K-7222,Toyota,2021,82672.0,271749.0,Sian,SUV
Azul,7E-6087,Toyota,2003,192739.0,839194.0,Duster,Hatch
Vermelho,6U-8915,Ford,1997,78466.0,857263.0,Civic,SUV
Preto,4B-5417,Toyota,2004,83969.0,472740.0,Strada,Super Esportivo
Branco,8A-7739,Chevrolet,2023,278179.0,474076.0,Fiesta,Hatch
Preto,6P-4633,Ferrari,1995,109081.0,81785.0,C4 Cactus,Super Esportivo
Branco,3Q-1819,Honda,1997,26483.0,806446.0,Onix,Pick-up
Verde,8L-6442,Ferrari,2022,71064.0,528554.0,Fiesta Sedan,Hatch
Vermelho,3M-6891,Honda,2007,169093.0,831751.0,Huracan,Sedan
Verde,7Q-1409,Mitsubishi,2019,232198.0,691596.0,Fiesta Sedan,Pick-up
Branco,5V-6836,Ford,1993,139600.0,781018.0,458 Italia,Sedan
Branco,8O-9500,Ferrari,2016,66181.0,423264.0,Aventador SVJ,Esportivo
Azul,9T-8369,Ferrari,2015,115439.0,593912.0,812 GTS,Sedan
Preto,5S-6920,Toyota,2006,127973.0,225109.0,HR-V,Pick-up
Verde,5M-5671,Ford,2004,98543.0,516377.0,F8 Tributo,Sedan
Azul,8R-3177,Chevrolet,2012,104113.0,587791.0,812 GTS,Hatch
Branco,3E-5031,Ferrari,2003,91253.0,749908.0,A3,Super Esportivo
Vermelho,6V-1293,Chevrolet,2003,96690.0,264065.0,C4 Cactus,Sedan
Preto,6L-6662,Chevrolet,2019,51890.0,668057.0,Cruze,Hatch
Vermelho,5G-4240,Ford,2004,283843.0,257814.0,Tucson,Esportivo
Vermelho,9A-2759,Chevrolet,2012,234334.0,46036.0,F430,Sedan
Branco,4P-8256,Ford,2002,298419.0,599401.0,Fiesta,Sedan
Azul,6R-4734,Toyota,1997,250368.0,795295.0,F8 Tributo,Super Esportivo
Preto,8P-5545,Honda,2015,117479.0,527317.0,Eclipse GT,Super Esportivo
Azul,6D-3240,Mitsubishi,2000,13126.0,918883.0,Tiguan,Pick-up
Branco,6G-6163,Honda,2022,85536.0,261570.0,C4 Cactus,Sedan
Azul,7Z-4635,Toyota,2013,109858.0,891056.0,Voyage,Super Esportivo
Preto,2P-1395,Honda,2001,56815.0,713964.0,A3,SUV
Preto,4D-8304,Ford,2011,278954.0,194102.0,A3,Esportivo
Branco,3L-6245,Toyota,2015,66406.0,712871.0,F12 Berlinetta,Super Esportivo
Vermelho,2B-9689,Chevrolet,2002,144367.0,416834.0,S10,Pick-up
Verde,2T-5045,Chevrolet,2005,114790.0,223835.0,Aventador,Super Esportivo
Branco,4H-4261,Toyota,2006,176222.0,258622.0,Cruze,Pick-up
Vermelho,8M-5872,Toyota,2013,263099.0,256922.0,Sian,Pick-up
Verde,7J-6619,Chevrolet,2001,199142.0,685425.0,Reventón,Hatch
Azul,7J-2699,Ferrari,2009,218280.0,106529.0,812 GTS,Super Esportivo
Azul,2T-8983,Ferrari,2011,273455.0,360694.0,Onix,Sedan
Azul,4Q-7198,Honda,2004,136687.0,926280.0,Palio,Pick-up
Azul,4G-6532,Mitsubishi,2014,108048.0,138685.0,F430,Esportivo
Preto,3E-1928,Honda,1998,2643.0,789242.0,C4 Cactus,Esportivo
Verde,4H-2653,Ferrari,1992,198.0,453059.0,Strada,Hatch
Azul,6F-2894,Ferrari,1995,37515.0,655366.0,Fiesta,Super Esportivo
Branco,6O-5817,Chevrolet,1992,172236.0,635467.0,Focus,SUV
Verde,4Q-4705,Ford,2001,226269.0,58760.0,Fit,Super Esportivo
Branco,3O-3098,Toyota,1996,61249.0,171351.0,Corolla,SUV
Vermelho,7L-5956,Honda,2003,157016.0,917002.0,458 Italia,SUV
Verde,7O-7760,Toyota,2003,275102.0,600807.0,F12 Berlinetta,SUV
Azul,3Y-9999,Mitsubishi,2005,97286.0,415694.0,Onix,SUV
Verde,2B-5085,Toyota,2016,96003.0,460982.0,Fusion,Super Esportivo
Vermelho,6C-4057,Lamborghini,2018,170778.0,282872.0,Reventón,Super Esportivo
Preto,2K-6107,Ferrari,2015,221405.0,747185.0,Creta,Pick-up
Verde,8T-1056,Ford,2016,13015.0,251642.0,LaFerrari,Esportivo
Verde,7B-4536,Ferrari,2017,136859.0,910881.0,Tiguan,Sedan
Verde,6L-7491,Chevrolet,2014,61145.0,455008.0,Creta,SUV
Azul,3R-3148,Ferrari,2018,211427.0,630657.0,Ranger,Hatch
Vermelho,9B-9801,Chevrolet,2007,44805.0,544807.0,Civic,Esportivo
Preto,7F-6410,Lamborghini,2001,88263.0,685250.0,Golf,Super Esportivo
Verde,6X-9559,Mitsubishi,2011,232868.0,87833.0,Urus,SUV
Azul,7A-8347,Chevrolet,2023,234907.0,854644.0,Focus,Pick-up
Preto,4S-1672,Mitsubishi,2007,174531.0,177585.0,City,Sedan
Azul,9B-9263,Chevrolet,2009,125774.0,287667.0,458 Italia,Esportivo
Vermelho,3Z-9203,Lamborghini,2009,124858.0,863995.0,Fusion,Sedan
Branco,3Y-5806,Toyota,1996,110966.0,672744.0,Palio,Esportivo
Preto,7F-2587,Honda,1999,142745.0,906720.0,Corolla,Esportivo
Branco,4Z-8247,Ferrari,2012,276465.0,134459.0,Gallardo,Super Esportivo
Vermelho,1Y-6897,Lamborghini,1996,283451.0,977484.0,Reventón,SUV
Preto,1H-5398,Honda,2021,232717.0,385583.0,Kicks,Pick-up
Branco,7Y-1710,Toyota,1997,286446.0,34476.0,F12 Berlinetta,Hatch
Vermelho,7G-1686,Ferrari,2006,111215.0,898921.0,Civic,Pick-up
Vermelho,2T-5391,Toyota,1995,296896.0,369762.0,Duster,Hatch
Branco,7X-4407,Ferrari,2012,20415.0,454151.0,458 Italia,SUV
Preto,2X-9746,Ferrari,2003,83018.0,731080.0,F8 Tributo,SUV
Preto,2N-1670,Lamborghini,2022,25125.0,612678.0,F12 Berlinetta,Hatch
Verde,4A-5603,Lamborghini,2006,294325.0,769956.0,458 Speciale,Hatch
Preto,8Q-8214,Honda,2023,84928.0,552350.0,Aventador,Super Esportivo
Azul,9E-5555,Mitsubishi,2014,267516.0,686655.0,Reventón,Sedan
Branco,3Y-5676,Honda,2017,19743.0,600958.0,488 Pista,Hatch
Preto,5M-1401,Ferrari,2002,249351.0,615547.0,Civic,SUV
Preto,7S-4323,Honda,2015,75899.0,792640.0,C4 Cactus,SUV
Branco,7U-3111,Lamborghini,1993,228043.0,945204.0,F12 Berlinetta,Super Esportivo
Preto,8P-4640,Ford,2003,205415.0,131958.0,Fusion,Sedan
Verde,4N-1450,Honda,2018,179698.0,24308.0,Aventador SVJ,Super Esportivo
Preto,5O-8882,Ferrari,2018,216880.0,970487.0,812 GTS,SUV
Verde,8Q-8993,Honda,2010,11911.0,465300.0,Onix,SUV
Preto,6X-8569,Honda,1999,223500.0,307373.0,Creta,Hatch
Branco,6Q-1464,Lamborghini,1991,249226.0,433345.0,Creta,Sedan
Vermelho,8Y-6121,Mitsubishi,2014,118940.0,397471.0,Voyage,Super Esportivo
Branco,8E-4378,Ferrari,1990,241820.0,897509.0,488 GTB,Super Esportivo
Preto,6C-5079,Honda,2015,60653.0,541749.0,Strada,Pick-up
Preto,3G-1625,Honda,2020,37797.0,733585.0,Urus,Pick-up
Vermelho,3M-3551,Toyota,2017,56246.0,841369.0,Uno,Sedan
Branco,5K-3092,Ford,2007,164296.0,929700.0,Fiesta Sedan,Esportivo
Preto,5K-6780,Honda,2008,34964.0,816845.0,Focus,Pick-up
Verde,3X-1184,Toyota,2018,280745.0,924937.0,Voyage,SUV
Preto,5Y-3775,Toyota,1997,35055.0,890625.0,Uno,Super Esportivo
Vermelho,6B-7175,Honda,2002,180672.0,475344.0,812 Superfast,Pick-up
Verde,9D-5232,Honda,1998,175338.0,747099.0,Renegade,Hatch
Branco,3T-2340,Ford,2011,290891.0,512711.0,Strada,Sedan
Preto,8N-2843,Ferrari,2010,108333.0,445858.0,812 GTS,Esportivo
Branco,3Z-1561,Toyota,2019,20860.0,206774.0,Sian,Sedan
Verde,1Q-2678,Mitsubishi,2016,283833.0,395657.0,Compass,Sedan
Preto,2P-1352,Honda,2019,177407.0,198761.0,City,Super Esportivo
Azul,3X-3046,Toyota,1994,210844.0,580967.0,Sian,Super Esportivo
Branco,3N-9354,Toyota,2015,72555.0,879947.0,Kicks,Hatch
Verde,6L-3160,Ford,2011,218664.0,417357.0,Uno,Sedan
Branco,5I-8291,Mitsubishi,2021,177989.0,251382.0,Eclipse GT,Hatch
Azul,5A-1393,Honda,1995,110749.0,870836.0,Ranger,SUV
Preto,4Y-9526,Chevrolet,1996,63548.0,669192.0,A3,Sedan
Branco,1Q-4235,Lamborghini,2004,167794.0,451682.0,Reventón,Sedan
Branco,3L-5904,Toyota,2002,125969.0,255815.0,Gallardo,SUV
Branco,2S-2987,Mitsubishi,1990,231985.0,858788.0,Huracan,Esportivo
Branco,9A-3652,Honda,1997,194391.0,670528.0,488 Pista,Super Esportivo
Branco,6O-6488,Lamborghini,2006,14122.0,659220.0,Creta,Hatch
Preto,7Z-1716,Honda,2011,273125.0,19310.0,A3,Esportivo
Vermelho,6L-9952,Lamborghini,2011,122104.0,295884.0,Compass,Super Esportivo
Vermelho,9F-3353,Chevrolet,2018,34904.0,103604.0,Onix,Sedan
Azul,1Q-2685,Ferrari,2014,195162.0,584295.0,458 Italia,Pick-up
Azul,2Z-2170,Toyota,2018,131682.0,136917.0,458 Speciale,Esportivo
Preto,6P-8753,Mitsubishi,2020,143310.0,521447.0,Gallardo,Hatch
Preto,4X-9845,Chevrolet,1996,221510.0,823170.0,Renegade,Hatch
Verde,7I-2176,Mitsubishi,1992,9430.0,512647.0,Aventador SVJ,Hatch
Azul,5K-5592,Mitsubishi,1998,80694.0,947330.0,Onix,Hatch
Vermelho,3F-8177,Ferrari,2019,32308.0,374465.0,Duster,Hatch
Azul,6N-2584,Ford,1991,218637.0,733061.0,S10,SUV
Branco,6V-5200,Chevrolet,1997,843.0,677389.0,LaFerrari,Esportivo
Verde,2H-4838,Mitsubishi,2013,152138.0,470343.0,C4 Cactus,SUV
Verde,7D-5036,Lamborghini,2022,96841.0,168414.0,Sian,SUV
Branco,3I-4332,Mitsubishi,2023,28500.0,645359.0,458 Italia,Hatch
Branco,8Z-7514,Chevrolet,2006,56183.0,225130.0,488 GTB,Sedan
Preto,8A-1499,Honda,1994,219430.0,377933.0,Tucson,SUV
Vermelho,3G-5540,Honda,1997,185902.0,264429.0,Fiesta,Pick-up
Vermelho,3R-9583,Toyota,2021,173079.0,354471.0,Voyage,SUV
Verde,9O-3256,Mitsubishi,2007,101145.0,584146.0,Aventador SVJ,Super Esportivo
Verde,2S-7668,Lamborghini,1996,69558.0,733186.0,Fit,Esportivo
Azul,3G-7871,Lamborghini,2002,198645.0,385626.0,Hilux,Pick-up
Preto,2U-5177,Ford,2011,21740.0,244467.0,Voyage,Super Esportivo
Azul,1H-7823,Ford,2019,181529.0,546725.0,City,Esportivo
Azul,6Y-5336,Ferrari,2022,254638.0,843534.0,City,Pick-up
Verde,2U-6002,Ford,1990,124107.0,143951.0,Eclipse GT,Pick-up
Verde,4C-1794,Lamborghini,2014,132732.0,665340.0,Strada,Hatch
Branco,4W-7355,Mitsubishi,2011,210201.0,77226.0,C4 Cactus,Esportivo
Branco,5V-1415,Ford,2004,231095.0,572805.0,Reventón,SUV
Azul,7T-7101,Ford,1999,101056.0,221688.0,F8 Tributo,Super Esportivo
Azul,6Y-6122,Toyota,2016,45037.0,105640.0,Compass,Sedan
Vermelho,1Y-9485,Chevrolet,2016,103548.0,602385.0,Palio,Pick-up
Preto,6P-4819,Ford,2017,103864.0,691026.0,Urus,SUV
Branco,4T-9769,Honda,1995,72410.0,414103.0,HR-V,Pick-up
Preto,8B-3085,Mitsubishi,2014,184005.0,825578.0,F430,SUV
Preto,7B-1394,Mitsubishi,2009,5397.0,142762.0,Reventón,Super Esportivo
Verde,7F-5156,Chevrolet,1999,158569.0,787268.0,488 GTB,Pick-up
Verde,8T-3048,Ferrari,2005,107366.0,567549.0,F8 Tributo,Hatch
Vermelho,5B-3513,Ferrari,2000,140495.0,727725.0,Tiguan,Esportivo
Branco,3H-1885,Toyota,2003,55347.0,165738.0,Hilux,Hatch
Azul,2Y-7361,Chevrolet,2001,88005.0,144804.0,Renegade,Esportivo
Azul,9M-3521,Honda,1998,130514.0,555214.0,Kicks,SUV
Azul,7O-9124,Mitsubishi,2002,172576.0,169777.0,Uno,Super Esportivo
Verde,8J-9247,Ferrari,2007,179435.0,555592.0,458 Italia,SUV
Vermelho,4V-3857,Toyota,2016,196258.0,103617.0,Fit,Pick-up
Verde,8F-8998,Mitsubishi,2012,128789.0,500247.0,Fusion,Hatch
Preto,7G-5252,Toyota,2005,123553.0,215428.0,Onix,SUV
Preto,3S-4125,Lamborghini,2013,219880.0,122551.0,Compass,Esportivo
Azul,3F-3994,Ford,1999,148148.0,389873.0,Cruze,Hatch
Vermelho,9R-9044,Ford,2002,208039.0,653837.0,A3,Hatch
Branco,3G-9164,Ferrari,1999,50098.0,98511.0,Palio,Super Esportivo
Verde,5Z-4185,Toyota,1995,207396.0,619610.0,Fusion,Sedan
Preto,2K-6325,Ferrari,2002,190197.0,465078.0,Polo,Sedan
Verde,7P-2972,Ford,2023,122250.0,604890.0,California T,SUV
Verde,5V-6027,Toyota,1991,278039.0,552297.0,Onix,Hatch
Azul,8G-3681,Toyota,2020,87021.0,473957.0,Golf,Esportivo
Branco,1C-9292,Ferrari,2022,210041.0,349109.0,LaFerrari,Hatch
Verde,4T-2466,Toyota,1997,241797.0,657753.0,Civic,SUV
Branco,8N-3945,Honda,2021,47450.0,580388.0,HR-V,Super Esportivo
Verde,3R-4402,Mitsubishi,2019,188350.0,453236.0,Ranger,Sedan
Branco,8R-4522,Mitsubishi,2020,102737.0,744951.0,488 GTB,Hatch
Verde,5O-7194,Chevrolet,2023,195258.0,918021.0,458 Italia,Esportivo
Vermelho,3E-5685,Ford,1996,176213.0,798357.0,Compass,Esportivo
Azul,2K-7386,Honda,2009,223207.0,733448.0,Essenza SCV12,Esportivo
Preto,5H-6421,Mitsubishi,1992,80010.0,97162.0,458 Italia,Super Esportivo
Preto,5D-9880,Mitsubishi,2015,48521.0,905311.0,F430,Hatch
Branco,7G-2641,Ford,2015,117475.0,843878.0,Corolla,SUV
Vermelho,7E-1808,Ferrari,2003,93995.0,162315.0,Aventador,Hatch
Verde,6M-7794,Mitsubishi,2013,125925.0,709664.0,Civic,Sedan
Verde,3R-1456,Mitsubishi,2004,94177.0,703004.0,812 GTS,Esportivo
Verde,9E-8535,Chevrolet,2013,200676.0,504516.0,Essenza SCV12,Esportivo
Verde,2X-5317,Mitsubishi,2013,199726.0,451579.0,Focus,Hatch
Vermelho,7W-4732,Honda,1992,249559.0,16156.0,458 Italia,Pick-up
Branco,1U-1255,Chevrolet,1993,89527.0,720388.0,Eclipse GT,Sedan
Preto,2G-3120,Honda,2015,124884.0,874427.0,HR-V,Esportivo
Preto,8E-5577,Toyota,2022,147018.0,578727.0,Renegade,Esportivo
Vermelho,4G-6392,Lamborghini,2018,152186.0,890481.0,Renegade,Hatch
Vermelho,3W-5837,Honda,2010,94865.0,239441.0,Sian,SUV
Branco,4N-8209,Honda,1996,177044.0,255880.0,Renegade,SUV
Preto,5U-6518,Chevrolet,2002,189861.0,431721.0,Civic,Hatch
Preto,6Z-6693,Toyota,2007,142429.0,730385.0,F12 Berlinetta,Pick-up
Vermelho,7F-8810,Chevrolet,2013,295270.0,257925.0,Strada,SUV
Vermelho,5Y-6347,Honda,2008,69061.0,877706.0,Civic,Hatch
Preto,2N-1743,Chevrolet,2003,200162.0,507356.0,812 Superfast,Hatch
Branco,7N-2098,Ferrari,1991,253333.0,440819.0,Fusion,Esportivo
Branco,8O-8989,Mitsubishi,2004,261592.0,591653.0,Uno,Super Esportivo
Azul,1L-7676,Ford,2011,89933.0,391035.0,Gallardo,SUV
Azul,5R-6647,Ford,2000,1898.0,231419.0,Kicks,Pick-up
Preto,7U-9376,Ferrari,2001,33155.0,59622.0,Fusion,Sedan
Vermelho,3W-7016,Ford,2016,190602.0,120351.0,Urus,Pick-up
Preto,1Y-5059,Ford,1994,241379.0,602997.0,488 GTB,SUV
Azul,8R-1437,Ford,2017,42421.0,193805.0,Civic,Esportivo
Azul,3W-5271,Ferrari,1992,106484.0,379509.0,Aventador SVJ,Pick-up
Vermelho,1Q-6846,Chevrolet,2013,98017.0,127282.0,LaFerrari,SUV
Vermelho,1G-5165,Mitsubishi,2001,188038.0,44315.0,Voyage,Esportivo
Preto,4W-7838,Toyota,2004,176463.0,836932.0,Duster,SUV
Branco,5K-7318,Ferrari,2004,160910.0,231030.0,Fiesta,Esportivo
Azul,4H-1978,Toyota,2006,243484.0,80987.0,Polo,Hatch
Verde,8S-4234,Chevrolet,1992,69774.0,150459.0,Compass,SUV
Preto,7U-9752,Toyota,2018,92983.0,568877.0,S10,Super Esportivo
Preto,4M-8660,Ferrari,2020,10924.0,82425.0,Sian,Esportivo
Azul,7P-4170,Honda,2004,92794.0,229996.0,Fiesta Sedan,Super Esportivo
Branco,1H-6429,Honda,2016,267138.0,972096.0,S10,Esportivo
Azul,6E-3641,Ford,2000,147578.0,81525.0,Cruze,Hatch
Preto,1D-4244,Lamborghini,2011,159960.0,847279.0,Fiesta Sedan,SUV
Verde,5T-6330,Ferrari,2014,172945.0,882631.0,F430,Hatch
Azul,3K-6464,Honda,2013,25379.0,399778.0,Portofino,Esportivo
Azul,7X-5196,Ferrari,2012,57185.0,638804.0,S10,SUV
